id;nom;decision;lccn;vedette_lc;preuve;naissance_lc;mort_lc;lieu_naissance_lc;langues_lc;ecrit_le_26_09;candidats_et_motifs
10402;Daniele Carneiro;non_corrobore;;;;;;;;;Carneiro, Daniele
10406;Emili Coratvitarte i Carral;introuvable;;;;;;;;;
10407;Marcio Luiz Carreri;accepte;no2009040807;Carreri, Marcio Luiz;titre « agulha no palheiro »;;;;Portuguese;lccn+langue;Carreri, Marcio Luiz
10409;Paul Carton;non_corrobore;;;;;;;;;Carton, Paul, 1875-1947 | Carton, Paul, 1951-
10410;Elysio de Carvalho;introuvable;;;;;;;;;
10412;Eduardo Góes de Castro;accepte;no2008162671;Castro, Eduardo Góes de;titre « os quebra santos »;;;;;lccn;Castro, Eduardo Góes de
10413;Rogério de Castro;non_corrobore;;;;;;;;;Castro, Rogério de
10414;Pedro Catallo;introuvable;;;;;;;;;
10415;Fernando Catroga;accepte;n88639776;Catroga, Fernando;dates;1945;;;;lccn;Catroga, Fernando
10416;Jardel Cavalcanti;introuvable;;;;;;;;;
10417;Isabel Cerruti;accepte;n2024255057;Cerruti, Isabel, 1886-1970;titre « o triunfo da anarquia »;1886;1970;São Paulo (Brazil);Portuguese;lccn+langue;Cerruti, Isabel (Isabel Teresa) | Cerruti, Isabel, 1886-1970
10418;Júlio César;introuvable;;;;;;;;;
10419;Marcos Cesar;introuvable;;;;;;;;;
10420;Mário César;accepte;no2015030326;César, Mário, 1982-;dates;1982;;;Portuguese;lccn+langue;César, Mário, 1982-
10421;Murilo Dias Cesar;non_corrobore;;;;;;;;;César, Murilo Dias
10422;Gabriel Chalita;accepte;n94900186;Chalita, Gabriel;dates;1969;;;Portuguese;lccn;Chalita, Gabriel
10423;Bernard Chantebout;non_corrobore;;;;;;;;;Chantebout, Bernard
10426;Fiamma Chessa;non_corrobore;;;;;;;;;Chessa, Fiamma
10427;Rivaldo Chinem;non_corrobore;;;;;;;;;Chinem, Rivaldo
10428;José Chrispiniano;accepte;nr2003001129;Chrispiniano, José;titre « a guerrilha surreal »;;;;;lccn;Chrispiniano, José
10431;Daniel Chutorianscy;non_corrobore;;;;;;;;;Chutorianscy, Daniel, 1948-
10432;Giuseppe Ciancabilla;non_corrobore;;;;;;;;;Ciancabilla, Giuseppe, 1872-1904
10434;Piero Cipriano;non_corrobore;;;;;;;;;Cipriano, Piero, 1968-
10435;Marcos Cirano;non_corrobore;;;;;;;;;Cirano, Marcos
10436;Márcia Regina Ciscati;accepte;no2001099755;Ciscati, Márcia Regina, 1967-;titre « malandros da terra do trabalho »;;;;;lccn;Ciscati, Márcia Regina, 1967-
10437;John Clark;introuvable;;;;;;;;;
10438;Arnould Clausse;non_corrobore;;;;;;;;;Clausse, Arnould
10440;Geraldo Mártires Coelho;non_corrobore;;;;;;;;;Coelho, Geraldo Mártires
10441;Jeff Collins;non_corrobore;;;;;;;;;Collins, Jeff, 1953- | Collins, Jeff, 1966- | Collins, Jeff | Collins, Jeff (Writer of erotic fiction) | Collins, Jeff (Television producer)
10444;Ai Ferri Conti;introuvable;;;;;;;;;
10445;Edelmira Del Carmen Alveal Contreras;introuvable;;;;;;;;;
10446;Edna Copparoni;accepte;no93021518;Copparoni, Edna;titre « edgardo ricetti maestro y luchador social »;;;;;lccn;Copparoni, Edna
10447;Cristiano Cordeiro;introuvable;;;;;;;;;
10448;Hector Adolfo Cordero;non_corrobore;;;;;;;;;Cordero, Héctor Adolfo
10449;Christiano Cornelissen;introuvable;;;;;;;;;
10450;Joël Cornuault;accepte;n96050854;Cornuault, Joël;titre « elisee reclus geographe et poete »;;;;;lccn;Cornuault, Joël
10453;Darío A. Cortés;non_corrobore;;;;;;;;;Cortés, Darío A., 1950-
10455;Hélio Da Costa;accepte;n95920116;Costa, Hélio da;titre « em busca da memoria »;;;;;lccn;Costa, Hélio da
10456;Marisa C. Vorraber Costa;introuvable;;;;;;;;;
10457;Rafael Costa;introuvable;;;;;;;;;
10458;Sérgio Amad Costa;accepte;n84182283;Costa, Sérgio Amad, 1958-;titre « o c g t e as lutas sindicais brasileiras 1960 64 »;;;;;lccn;Costa, Sérgio Amad, 1958-
10459;Túlio Costa;introuvable;;;;;;;;;
10460;Grabiela Costanzo;introuvable;;;;;;;;;
10462;Alain Coutte;non_corrobore;;;;;;;;;Coutte, Alain
10464;Luis Woollands (Juan Crusao);introuvable;;;;;;;;;
10466;Fernando O'Neill Cuesta;accepte;nb2003076093;O'Neill Cuesta, Fernando, 1924-;titre « el caso pardeiro »;;;;;lccn;O'Neill Cuesta, Fernando, 1924-
10467;Ian Curtis;accepte;n99833755;Curtis, Ian, 1956-1980;titre « joy division »;1956;1980;Manchester (England);English;lccn+naissance+mort+pays+langue;Curtis, Ian, 1956-1980 | Curtis, Ian | Curtis, Ian (Local historian)
10468;Silvia Rivera Cusicanqui;introuvable;;;;;;;;;
10469;Robert M. Cutler;non_corrobore;;;;;;;;;Cutler, Robert M.
10470;Armand Cuvillier;accepte;n94027689;Cuvillier, Armand, 1887-1973;titre « proudhon »;1887;1973;Paris (France);;lccn;Cuvillier, Armand, 1887-1973
10471;Alain C. D. H;introuvable;;;;;;;;;
10472;Aníbal A. D´Auria;introuvable;;;;;;;;;
10474;Hellmuth Günther Dahms;non_corrobore;;;;;;;;;Dahms, Hellmuth Günther
10476;Alberto Daneri;non_corrobore;;;;;;;;;Daneri, Alberto
10477;J. S. Daniels;introuvable;;;;;;;;;
10478;Gilson Dantas;accepte;no2011014985;Dantas, Gilson;titre « estatistica da miseria e a miseria da estatistica »;;;;Portuguese;lccn+langue;Dantas, Gilson
10480;Robert Darton;introuvable;;;;;;;;;
10483;Henry David;introuvable;;;;;;;;;
10484;Angela Davis;non_corrobore;;;;;;;;;Davis, Angela, 1970- | Davis, Angela, 1981-
10485;Dorothy Day;accepte;n50035121;Day, Dorothy, 1897-1980;dates;1897;1980;Brooklyn (New York, N.Y.);English;lccn+langue;Day, Dorothy, 1897-1980 | Day, Dorothy
10486;Douglas Day;non_corrobore;;;;;;;;;Day, Douglas, 1955-2019 | Day, Douglas, 1932-2004
10489;Paulo de Castro;introuvable;;;;;;;;;
10493;Almir de Lima Pereira;non_corrobore;;;;;;;;;Pereira, Almir de Lima
10494;Leandro Delgado;accepte;no2006101900;Delgado, Leandro, 1967-;dates;1967;;Montevideo (Uruguay);Spanish;lccn+langue;Delgado, Leandro, 1967-
10495;Alèssi Dell'umbria;non_corrobore;;;;;;;;;Dell'Umbria, Alèssi
10496;Juan Pablo Calero Delso;introuvable;;;;;;;;;
10497;Sandra McGee Deutsch;accepte;n85026938;Deutsch, Sandra McGee, 1950-;dates;1950;;;English;lccn+langue;Deutsch, Sandra McGee, 1950-
10498;Eduardo Devés;introuvable;;;;;;;;;
10499;Pasquale Di Paolo;accepte;n84034026;Di Paolo, Pasquale;titre « cabanagem »;;;;;lccn;Di Paolo, Pasquale
10502;Laureano Riera Díaz;introuvable;;;;;;;;;
10503;CESIT Dieese;introuvable;;;;;;;;;
10504;Gerard Dilger;introuvable;;;;;;;;;
10506;Elias Diniz;introuvable;;;;;;;;;
10508;Dilar Dirik;non_corrobore;;;;;;;;;Dirik, Dilar, 1991-
10509;Willful Disobedience;introuvable;;;;;;;;;
10510;Emmanuel Malolo Dissakè;introuvable;;;;;;;;;
10511;Reaxiones Adversas Distro;introuvable;;;;;;;;;
10514;Guillaume Doizy;non_corrobore;;;;;;;;;Doizy, Guillaume
10515;J-A Doléris;introuvable;;;;;;;;;
10516;Mário Domingues;non_corrobore;;;;;;;;;Domingues, Mário, 1899-1977 | Domingues, Mário | Domingues, Mario, 1973-
10517;Maurice Dommanget;accepte;n84128691;Dommanget, Maurice, 1888-1976;dates;1888;1976;Paris (France);French;lccn+langue;Dommanget, Maurice, 1888-1976
10518;Igor Goicovic Donoso;introuvable;;;;;;;;;
10519;A. de Sampaio Doria;introuvable;;;;;;;;;
10520;Elsa Dorlin;accepte;no2001064678;Dorlin, Elsa;dates;1974;;;French,English;lccn;Dorlin, Elsa
10521;F. M. Dostoiévski;introuvable;;;;;;;;;
10523;Fiódor M. Dostoievski;introuvable;;;;;;;;;
10524;Wolfgang Dressen;non_corrobore;;;;;;;;;Dressen, Wolfgang
10525;Ozeas Duarte;accepte;n91121499;Duarte, Ozeas;titre « os mercadores de ilusoes »;;;;;lccn;Duarte, Ozeas
10526;Regina Horta Duarte;accepte;n92115600;Duarte, Regina Horta;titre « a imagem rebelde »;;;;;lccn;Duarte, Regina Horta
10527;Henri Dubief;non_corrobore;;;;;;;;;Dubief, Henri, 1856-1934 | Dubief, Henri
10528;Pierre Duchesne;non_corrobore;;;;;;;;;Duchesne, Pierre, 1964- | Duchesne, Pierre, 1969- | Duchesne, Pierre
10530;John W. F. Dulles;introuvable;;;;;;;;;
10532;Lionel Dupuy;non_corrobore;;;;;;;;;Dupuy, Lionel
10535;Eliana de Freitas Dutra;introuvable;;;;;;;;;
10536;Chris Ealham;non_corrobore;;;;;;;;;Ealham, Chris
10540;Uri Eisenzweig;contradiction;;;;;;;;;Eisenzweig, Uri [naissance 1946 ≠ 1953]
10541;Juan Puis Elias;introuvable;;;;;;;;;
10542;Paulo Eltzbacher;introuvable;;;;;;;;;
10543;Fábio Emecê;introuvable;;;;;;;;;
10544;José Antonio Emmanuel;non_corrobore;;;;;;;;;Emmanuel, José Antonio
10545;Frederich Engel;introuvable;;;;;;;;;
10546;Critical Art Ensemble;introuvable;;;;;;;;;
10547;Vanina Escales;non_corrobore;;;;;;;;;Escales, Vanina
10548;Osvaldo Arias Escobedo;introuvable;;;;;;;;;
10549;Cruz Escribano;accepte;n86810973;Escribano, Cruz;titre « mis recuerdos »;;;;;lccn;Escribano, Cruz
10550;Osvaldo Escribano;introuvable;;;;;;;;;
10551;Cristina Escrivá;non_corrobore;;;;;;;;;Escrivá, Cristina
10553;Jorge Etchenique;accepte;nb99169436;Etchenique, Jorge;titre « pampa libre »;;;;;lccn;Etchenique, Jorge
10554;Catriel Etcheverri;non_corrobore;;;;;;;;;Etcheverri, Catriel
10555;Richard F. Fleck;non_corrobore;;;;;;;;;Fleck, Richard F., 1937-
10556;Clifton Fadiman;accepte;n79139668;Fadiman, Clifton, 1904-1999;dates;1904;1999;;English;lccn+langue;Fadiman, Clifton, 1904-1999
10557;Eduardo Fagnani;accepte;n2010201364;Fagnani, Eduardo;titre « previdencia social »;;;;Portuguese;lccn+langue;Fagnani, Eduardo
10558;Candace Falk;accepte;n83193384;Falk, Candace;titre « love anarchy and emma goldman »;;;;;lccn;Falk, Candace
10560;Sérgio Fantini;non_corrobore;;;;;;;;;Fantini, Sérgio, 1961-
10562;Álvaro Alves de Faria;accepte;n81140033;Faria, Alvaro Alves de, 1942-;titre « o tribunal »;1942;;São Paulo (Brazil);Portuguese;lccn;Faria, Alvaro Alves de, 1942-
10563;Wilson de Faria;introuvable;;;;;;;;;
10566;Francis McCollum Feeley;non_corrobore;;;;;;;;;Feeley, Francis McCollum, 1946-
10568;Isabelle Felici;non_corrobore;;;;;;;;;Felici, Isabelle
10569;Almir Valente Felitte;accepte;n2023255562;Felitte, Almir Valente;titre « historia da policia no brasil »;;;;Portuguese;lccn;Felitte, Almir Valente
10570;Rubem César Fernandes;non_corrobore;;;;;;;;;Fernandes, Rubem César
10571;Frank Fernández;accepte;no99069905;Fernández, Frank, 1944-;dates;1944;;;;lccn;Fernández, Frank, 1944- | Fernández, Frank, 1934- | Fernandez, Frank (Bernard)
10572;Gonzalo D. Fernandez;accepte;n82240745;Fernández, Gonzalo D.;titre « historia de bandidos »;1952;;Montevideo (Uruguay);Spanish;lccn+naissance+pays+langue;Fernández, Gonzalo D.
10573;Germán Ferrari;accepte;no2007068967;Ferrari, Germán;dates;1969;;Lomas de Zamora, Argentina;;lccn;Ferrari, Germán
10574;Celso Ferraris;introuvable;;;;;;;;;
10575;Pinto Ferraz;introuvable;;;;;;;;;
10576;Acácio Ferreira;introuvable;;;;;;;;;
10577;Fernanda Durão Ferreira;non_corrobore;;;;;;;;;Ferreira, Fernanda Durão
10578;Maria Nazareth Ferreira;non_corrobore;;;;;;;;;Ferreira, Maria Nazareth
10581;Francisco Ferrer Y Guardia;introuvable;;;;;;;;;
10582;Alejandro Tiana Ferrer;non_corrobore;;;;;;;;;Tiana Ferrer, Alejandro
10583;Julio Ferrer;accepte;no2007127765;Ferrer, Julio, 1976-;titre « osvaldo bayer intimo »;1976;;;Spanish;lccn+naissance+langue;Ferrer, Julio, 1976- | Ferrer, Julio, 1944- | Ferrer, Julio, 1973-
10585;Sol Ferrer;non_corrobore;;;;;;;;;Ferrer, Sol
10586;Norberto Osvaldo Ferreras;accepte;no2010053842;Ferreras, Norberto Osvaldo;titre « o cotidiano dos trabalhadores de buenos aires 1880 1920 »;1963;;;Portuguese;lccn+naissance+langue;Ferreras, Norberto Osvaldo
10587;Retlav Avles Ferret;introuvable;;;;;;;;;
10588;Enrique Ferri;introuvable;;;;;;;;;
10590;Piero Ferrua;introuvable;;;;;;;;;
10591;Roseli Figaro;non_corrobore;;;;;;;;;Figaro, Roseli
10592;Vera Figner;accepte;n85090285;Figner, Vera, 1852-1942;dates;1852;1942;;Russian;lccn+langue;Figner, Vera, 1852-1942
10593;Alípio de Sousa Filho;accepte;no2002041889;Sousa Filho, Alípio de, 1961-;dates;1961;;;;lccn;Sousa Filho, Alípio de, 1961-
10594;Fábio Luz Filho;non_corrobore;;;;;;;;;Luz Filho, Fabio
10595;Olavo Cabral Ramos Filho;introuvable;;;;;;;;;
10596;Federico Finchelstein;accepte;n99836015;Finchelstein, Federico, 1975-;dates;1975;;;English,Spanish;lccn;Finchelstein, Federico, 1975-
10597;Paolo Finzi;contradiction;;;;;;;;;Finzi, Paolo, 1951-2020 [naissance 1951 ≠ 1957]
10598;Marie Fleming;non_corrobore;;;;;;;;;Fleming, Marie (MS patient)
10599;Pere Foix;non_corrobore;;;;;;;;;Foix, Pere
10600;Giulio Folena;accepte;n88121945;Folena, Giulio;titre « escravos do profeta »;;;;;lccn;Folena, Giulio
10601;Carlos Fonseca;accepte;no96066550;Fonseca, Carlos, 1959-;dates;1959;;Madrid (Spain);;lccn;Fonseca, Carlos, 1959- | Fonseca, Carlos, 1987- [naissance 1987 ≠ 1959] | Fonseca, Carlos, 1985- [naissance 1985 ≠ 1959]
10602;Eilton Fonseca;introuvable;;;;;;;;;
10603;Tomaz da Fonseca;introuvable;;;;;;;;;
10604;Alfonso Font;accepte;n79048443;Font, Alfonso;dates;1946;;Barcelona (Spain);;lccn;Font, Alfonso
10606;Isleide Arruda Fontenelle;accepte;no2002067330;Fontenelle, Isleide Arruda;titre « o nome da marca »;;;;;lccn;Fontenelle, Isleide Arruda
10607;Epitéto Fontes;introuvable;;;;;;;;;
10611;Alex Foti;accepte;no2009103671;Foti, Alex, 1966-;titre « anarchy in the eu »;;;;;lccn;Foti, Alex, 1966-
10612;Walter Francini;accepte;no2024049988;Francini, Walter, 1926-1996;dates;1926;1996;São Paulo (Brazil);Esperanto,Portuguese;lccn;Francini, Walter, 1926-1996
10613;José Francisco;introuvable;;;;;;;;;
10614;F. de A. Carvalho Franco;introuvable;;;;;;;;;
10615;Maria Laura P. B. Franco;introuvable;;;;;;;;;
10617;Joseph Frank;introuvable;;;;;;;;;
10619;Jo Freeman;accepte;n79062679;Freeman, Jo;dates;1945;;;;lccn;Freeman, Jo
10620;João Freire;accepte;n96049382;Freire, João, 1942-;dates;1942;;Lisbon (Portugal);Portuguese;lccn+langue;Freire, João, 1942-
10621;Susanita Freire;non_corrobore;;;;;;;;;Freire, Susanita
10622;Allan de Freitas;introuvable;;;;;;;;;
10624;Jeanne Marie Machado de Freitas;introuvable;;;;;;;;;
10625;Yves Fremion;accepte;n81043712;Frémion, Yves;dates;1947;;Lyon (France);;lccn;Frémion, Yves
10627;Ricardo Fuego;introuvable;;;;;;;;;
10628;Rene Furth;non_corrobore;;;;;;;;;Furth, René
10629;Jostein Gaarder;accepte;n94041978;Gaarder, Jostein, 1952-;dates;1952;;;;lccn;Gaarder, Jostein, 1952-
10631;Jeanne Gaillard;non_corrobore;;;;;;;;;Gaillard, Jeanne
10633;Jairo Galindo;non_corrobore;;;;;;;;;Galindo, Jairo
10635;Emily Games;introuvable;;;;;;;;;
10636;Mahatma Gandhi;accepte;n79041626;Gandhi, Mahatma, 1869-1948;dates;1869;1948;Porbandar (India);Gujarati,English;lccn;Gandhi, Mahatma, 1869-1948 | Gandhi, Mahatma, 1869-1948 (Spirit)
10637;Elias Garcia;introuvable;;;;;;;;;
10638;Huascar Rodríguez García;introuvable;;;;;;;;;
10639;Hugo Garcia;non_corrobore;;;;;;;;;García, Hugo (García Abdo) | García, Hugo, 1967-
10640;Juan Guillermo Gómez García;introuvable;;;;;;;;;
10641;Luis Lamela García;introuvable;;;;;;;;;
10642;Juan José Garfia;accepte;n97092878;Garfia, Juan José, 1966-;titre « adios prision »;;;;;lccn;Garfia, Juan José, 1966-
10644;Peter Gelderloos;accepte;n2006012680;Gelderloos, Peter;dates;1982;;;English;lccn;Gelderloos, Peter
10645;Emilio Gennari;non_corrobore;;;;;;;;;Gennari, Emilio
10646;René E. Gertz;introuvable;;;;;;;;;
10648;Giancarlo Giannini;non_corrobore;;;;;;;;;Giannini, Giancarlo
10649;Moisés Gicovate;non_corrobore;;;;;;;;;Gicovate, Moisés
10651;Alibrando Giovannetti;non_corrobore;;;;;;;;;Giovannetti, Alibrando, 1876-1954
10652;Luiz Giovanni;introuvable;;;;;;;;;
10655;Maria Conceição Pinto de Góes;introuvable;;;;;;;;;
10656;Sonia Goldfeder;introuvable;;;;;;;;;
10657;Raymond Goldsmith;introuvable;;;;;;;;;
10658;Ângela Maria de Castro Gomes;accepte;n80020068;Gomes, Angela Maria de Castro;titre « velhos militantes »;1948;;;Portuguese;lccn+langue;Gomes, Angela Maria de Castro
10660;Alfredo Gómez;introuvable;;;;;;;;;
10661;Francisco Pineda Gómez;introuvable;;;;;;;;;
10662;Adelto Gonçalves;non_corrobore;;;;;;;;;Gonçalves, Adelto, 1951-
10663;Rodolfo González Pacheco;non_corrobore;;;;;;;;;González Pacheco, Rodolfo
10664;Julio Reyelo González;introuvable;;;;;;;;;
10665;Marcos Gonzalez;non_corrobore;;;;;;;;;Gonzalez, Marcos (Gonzalez Souza)
10666;Xosé Tarrio González;introuvable;;;;;;;;;
10669;J. Grave;introuvable;;;;;;;;;
10671;Juan Grave;introuvable;;;;;;;;;
10672;Gilbert Green;non_corrobore;;;;;;;;;Green, Gilbert
10673;Waldemar de Gregori;non_corrobore;;;;;;;;;Gregori, Waldemar de
10675;Andrej Grubacic;contradiction;;;;;;;;;Grubačić, Andrej [naissance 1976 ≠ 1974]
10677;Armand Guerra;accepte;no2001013023;Guerra, Armand;titre « a traves de la metralla »;;;;;lccn;Guerra, Armand
10678;Agustín Guillamón;non_corrobore;;;;;;;;;Guillamón, Agustín
10679;James Guillaume;accepte;n87897622;Guillaume, James, 1844-1916;dates;1844;1916;London (England);French;lccn+langue;Guillaume, James, 1844-1916
10680;Rafael Guimaraens;non_corrobore;;;;;;;;;Guimaraens, Rafael
10681;James Gullaume;introuvable;;;;;;;;;
10682;Pippo Gurrieri;non_corrobore;;;;;;;;;Gurrieri, Pippo
10683;Salvador Gurucharri;accepte;nr2005008096;Gurucharri, Salvador;titre « bibliografia del anarquismo espanol 1869 1975 »;;;;;lccn;Gurucharri, Salvador
10684;José Antonio Gutiérrez Danton;non_corrobore;;;;;;;;;Gutiérrez Dantón, José Antonio
10689;Cristina Guzzo;non_corrobore;;;;;;;;;Guzzo, Cristina
10691;A. Suprema Mestre Ching Hai;introuvable;;;;;;;;;
10692;Marta Harnecker;accepte;n79100591;Harnecker, Marta;dates;1937;2019;Chile;English,French,Portuguese,Spanish;lccn;Harnecker, Marta
10693;Clifford Harper;accepte;nr88004240;Harper, Clifford;dates;1949;;Chiswick, London, England;English;lccn;Harper, Clifford
10694;Frank Harris;contradiction;;;;;;;;;Harris, Frank, 1944- [naissance 1944 ≠ 1855] | Harris, Frank, active 1885-1887 | Harris, Frank (Frank W.)
10695;Jacque Lesage de La Haye;introuvable;;;;;;;;;
10696;John Heartfield;accepte;n79139067;Heartfield, John, 1891-1968;dates;1891;1968;Charlottenburg-Wilmersdorf (Berlin, Germany);German;lccn+langue;Heartfield, John, 1891-1968 | Heartfield, John
10697;Jacqueline Heinen;non_corrobore;;;;;;;;;Heinen, Jacqueline
10698;Peter Heintz;accepte;n83039555;Heintz, Peter, 1920-;dates;1920;;;;lccn;Heintz, Peter, 1920- | Heintz, Peter
10699;Benoît-P. Hepner;accepte;no2003030367;Hepner, Benoît P.;titre « bakounine et le panslavisme revolutionnaire »;;;;;lccn;Hepner, Benoît P.
10700;Henry Eric Hernández;accepte;no2008134345;Hernández, Henry Eric;titre « la revancha »;1971;;Camagüey (Cuba);Spanish;lccn+naissance+pays+langue;Hernández, Henry Eric
10701;Aventuras na História;introuvable;;;;;;;;;
10702;Antônio Hohlfeldt;accepte;n78090360;Hohlfeldt, Antônio;dates;1948;;Porto Alegre (Rio Grande do Sul, Brazil);;lccn;Hohlfeldt, Antônio
10703;Bob Holton;contradiction;;;;;;;;;Holton, Bob, 1922-1985 [naissance 1922 ≠ 1946]
10704;F. Hombourger;introuvable;;;;;;;;;
10707;Constantino Ianni;introuvable;;;;;;;;;
10709;Salvador Gurucharri y Tomás Ibáñez;introuvable;;;;;;;;;
10711;Abelardo Iglesias;non_corrobore;;;;;;;;;Iglesias, Abelardo
10712;Anistia Internacional;introuvable;;;;;;;;;
10713;IVa Internacional;introuvable;;;;;;;;;
10716;Carlos Issa;non_corrobore;;;;;;;;;Issa, Carlos | Issa, Carlos (Guitarist) | Issa, Carlos (Artist)
10717;Helena Iswolsky;introuvable;;;;;;;;;
10719;Brian Jackson;non_corrobore;;;;;;;;;Jackson, Brian, 1932 June 2- | Jackson, Brian (Brian Andrew), 1947-
10720;J. Hampden Jackson;accepte;n87120080;Jackson, J. Hampden (John Hampden), 1907-1966;dates;1907;1966;;;lccn;Jackson, J. Hampden (John Hampden), 1907-1966
10721;Mat Jacob;non_corrobore;;;;;;;;;Jacob, Mat, 1966-
10722;Clemência Jacquinet;introuvable;;;;;;;;;
10726;Antony Jay;accepte;n50037848;Jay, Antony, 1930-2016;dates;1930;2016;London (England);English;lccn+langue;Jay, Antony, 1930-2016 | Jay, Antony
10727;Frank Jellinek;accepte;n81110695;Jellinek, Frank, 1908-1975;dates;1908;1975;;French,English;lccn;Jellinek, Frank, 1908-1975
10728;Marcolino Jeremias;accepte;no2007070782;Jeremias, Marcolino;titre « tres depoimentos libertarios »;;;;;lccn;Jeremias, Marcolino
10730;Bernardo Joffily;non_corrobore;;;;;;;;;Joffily, Bernardo
10731;James Joll;accepte;n79032321;Joll, James;dates;1918;1994;;English;lccn+langue;Joll, James
10732;Regina Celia Mazoni Jomini;accepte;n89104278;Jomini, Regina Celia Mazoni;titre « uma educacao para a solidariedade »;;;;;lccn;Jomini, Regina Celia Mazoni
10733;Carlos M. Jordán;non_corrobore;;;;;;;;;Jordán, Carlos M. (Carlos María)
10734;Édouard Jourdain;introuvable;;;;;;;;;
10735;Camila Jourdan;non_corrobore;;;;;;;;;Jourdan, Camila
10736;Paulo José da Costa Jr.;introuvable;;;;;;;;;
10737;Armando Boito Jr.;introuvable;;;;;;;;;
10738;Paulo Ghiraldelli Jr.;accepte;n87888174;Ghiraldelli Jr., Paulo (Ghiraldelli Júnior);dates;1957;;;;lccn;Ghiraldelli Jr., Paulo (Ghiraldelli Júnior)
10740;Pedro Fontan Jubero;introuvable;;;;;;;;;
10742;José Álvarez Junco;introuvable;;;;;;;;;
10743;Hilário Franco Júnior;introuvable;;;;;;;;;
10744;Luiz Augusto Costacurta Junqueira;introuvable;;;;;;;;;
10746;Michel Justamand;non_corrobore;;;;;;;;;Justamand, Michel
10748;William Young and David E. KAISER;introuvable;;;;;;;;;
10749;Temma Kaplan;non_corrobore;;;;;;;;;Kaplan, Temma, 1942-
10750;Dainis Karepovs;contradiction;;;;;;;;;Karepovs, Dainis, 1957- [naissance 1957 ≠ 1960]
10752;Clóvis Nicanor Kassick;introuvable;;;;;;;;;
10753;Paul Kenny;non_corrobore;;;;;;;;;Kenny, Paul, 1981- | Kenny, Paul | Kenny, Paul, 1958- | Kenny, Paul, 1946- | Kenny, Paul, 1953- | Kenny, Paul, 1961- | Kenny, Paul, 1959-
10754;Jefferson Wille Kielwagen;introuvable;;;;;;;;;
10755;Arthur Koestler;accepte;n79109681;Koestler, Arthur, 1905-1983;dates;1905;1983;Budapest (Hungary);;lccn;Koestler, Arthur, 1905-1983
10756;Caterina Koltai;accepte;n86077737;Koltai, Caterina;titre « por que pacifismo »;;;;;lccn;Koltai, Caterina
10757;Boris Koval;introuvable;;;;;;;;;
10759;General Walter G. Krivitski;introuvable;;;;;;;;;
10760;Acacia Kuenzer;introuvable;;;;;;;;;
10761;M. Kun;introuvable;;;;;;;;;
10762;Graziela Kunsch;non_corrobore;;;;;;;;;Kunsch, Graziela
10763;Amir Labaki;non_corrobore;;;;;;;;;Labaki, Amir
10764;Benoît Ladarre;introuvable;;;;;;;;;
10767;Homer Lane;introuvable;;;;;;;;;
10768;Jacques Langlois;non_corrobore;;;;;;;;;Langlois, Jacques, active 1646-1698 | Langlois, Jacques, 1875- | Langlois, Jacques, active 1727-approximately 1730 | Langlois, Jacques, 1944- | Langlois, Jacques, 1950- | Langlois, Jacques
10769;E. Lanti;non_corrobore;;;;;;;;;Lanti, E.
10770;Luciano Lanza;accepte;n97102445;Lanza, Luciano, 1945-;titre « bombe e segreti »;;;;;lccn;Lanza, Luciano, 1945-
10771;François Laplantine;accepte;n50037713;Laplantine, François, 1943-;dates;1943;;;French,Spanish;lccn;Laplantine, François, 1943-
10772;Jean-Pierre Lardin;introuvable;;;;;;;;;
10773;Companhia do Latão;introuvable;;;;;;;;;
10774;Juan Lazarte;accepte;no2004055420;Lazarte, Juan;dates;1891;1963;Rosario (Santa Fe, Argentina);Spanish;lccn+langue;Lazarte, Juan
10776;Gilbert R. Ledon;accepte;no2024062231;Ledon, Gilbert R. (Gilbert René), 1931-2003;dates;1931;2003;;Esperanto;lccn;Ledon, Gilbert R. (Gilbert René), 1931-2003
10777;Dennis Lehane;accepte;n94037390;Lehane, Dennis;dates;1965;;Boston (Mass.);English;lccn;Lehane, Dennis
10778;Ascendino Leite;contradiction;;;;;;;;;Leite, Ascendino [mort 1996 ≠ 2010]
10779;Miriam Lifchitz Moreira Leite;introuvable;;;;;;;;;
10780;Floriano de Lemos;non_corrobore;;;;;;;;;Lemos, Floriano de, 1885-1968
10781;Alcir Lenharo;non_corrobore;;;;;;;;;Lenharo, Alcir
10783;Deise Leopoldi;introuvable;;;;;;;;;
10784;Sheldon Leslie;introuvable;;;;;;;;;
10788;Nelson Libero;introuvable;;;;;;;;;
10795;George Lichtheim;accepte;n50057273;Lichtheim, George, 1912-1973;dates;1912;1973;Berlin (Germany);English;lccn;Lichtheim, George, 1912-1973
10796;Clara E. Lida;non_corrobore;;;;;;;;;Lida, Clara E. (Clara Eugenia)
10797;Adolfo Lima;non_corrobore;;;;;;;;;Lima, Adolfo, 1874-1943
10799;Maria Emilia A. T. Lima;accepte;n89147399;Lima, Maria Emília A. T.;titre « a construcao discursiva do povo brasileiro »;;;;;lccn;Lima, Maria Emília A. T.
10800;Rogério Lima;non_corrobore;;;;;;;;;Lima, Rogério, 1959-
10801;Hermínio Linhares;introuvable;;;;;;;;;
10802;Edmond Marc Lipiansky;non_corrobore;;;;;;;;;Lipiansky, Edmond Marc
10804;Abel Lisman;introuvable;;;;;;;;;
